description,image_urls,name,price,url
"ЕлектрогітараКількість струн: 6Звукознімачі: HH, 2х IBZ-6Рік 06.2020",https://hotline.ua/img/tx/450/450398267_s265.jpg,Ibanez GRG121DX BKF,10 590 – 12 499 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/ibanez-grg121dx-bkf/
"ЕлектрогітараКількість струн: 6Система тремоло: +Звукознімачі: HSS, Fender Designed ...Рік 11.2019",https://hotline.ua/img/tx/450/450499175_s265.jpg,Fender SQUIER CLASSIC VIBE 70s STRATOCASTER HSS LR,21 799 – 23 180 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/fender-squier-classic-vibe-70s-stratocaster-hss-lr/
"ЕлектрогітараКількість струн: 6Система тремоло: +Звукознімачі: SSS, 3 x Player Series ...Рік 07.2018",https://hotline.ua/img/tx/443/443783882_s265.jpg,Fender Player Stratocaster Pau Ferro,32 551 – 44 999 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/fender-player-stratocaster-pf/
"ЕлектрогітараКількість струн: 6Система тремоло: +Звукознімачі: HSS, комплект Cort Alnico VРік 03.2012",https://hotline.ua/img/tx/443/443904459_s265.jpg,Cort G250,10 999 – 13 943 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/cort-g250/
"ЕлектрогітараКількість струн: 6Звукознімачі: HH, ESP Designed LH-150B, ESP Designed LH-150NРік 12.2020",https://hotline.ua/img/tx/376/376995113_s265.jpg,ESP LTD EC-256,19 008 – 29 999 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/esp-ltd-ec-256/
"ЕлектрогітараКількість струн: 6Система тремоло: +Звукознімачі: HSS, 3х PowersoundРік 03.2012",https://hotline.ua/img/tx/451/451044198_s265.jpg,Cort G110,7 293 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/cort-cort-g110/
"ЕлектрогітараКількість струн: 6Система тремоло: +Звукознімачі: SSS, 3 х Ceramic Single-CoilРік 03.2018",https://hotline.ua/img/tx/425/425243178_s265.jpg,Fender SQUIER AFFINITY STRATOCASTER MN,10 890 – 17 480 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/fender-squier-affinity-stratocaster-mn/
"ЕлектрогітараКількість струн: 6Звукознімачі: HH, 2 x Epiphone Alnico Classic PRO HumbuckerРік 03.2012",https://hotline.ua/img/tx/427/427587064_s265.jpg,Epiphone Les Paul Studio,10 454 – 28 999 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/epiphone-lp-studio-ebony-ch/
"ЕлектрогітараКількість струн: 6Звукознімачі: SS, 2 х Player Series Alnico 5 Tele Single-CoilРік 07.2018",https://hotline.ua/img/tx/404/404912385_s265.jpg,Fender Player Telecaster MN,24 499 – 39 799 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/fender-player-telecaster-mn/
"Бас-гітараКількість струн: 4Звукознімачі: 1хHumbucker, Ceramic HumbuckerРік 08.2021",https://hotline.ua/img/tx/448/448236176_s265.jpg,Fender SQUIER AFFINITY JAGUAR BASS MN,12 700 – 15 960 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/fender-squier-affinity-jaguar-bass-mn/
"ЕлектрогітараКількість струн: 6Система тремоло: +Звукознімачі: HH, 2 х 85/15 ""S""Рік 11.2017",https://hotline.ua/img/tx/449/449814873_s265.jpg,PRS SE Standard 24,24 043 – 37 999 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/prs-se-standard-24/
ЕлектрогітараКількість струн: 6Звукознімачі: HHРік 04.2012,https://hotline.ua/img/tx/528/528060_s265.jpg,Eko VL-480,12 513 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/eko-vl-480/
"ЕлектрогітараКількість струн: 6Система тремоло: +Звукознімачі: HH, 2 х Humbucker / CeramicРік 03.2012",https://hotline.ua/img/tx/476/476621_s265.jpg,Yamaha RGX220DZ,19 199 – 20 670 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/yamaha-rgx220dz/
Електрогітара / Гітарний комплектКількість струн: 6Система тремоло: +Звукознімачі: HSHРік 03.2012,https://hotline.ua/img/tx/698/698091_s265.jpg,Yamaha ERG121GP II,15 599 – 26 119 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/yamaha-erg121gp-ii-blk/
"ЕлектрогітараКількість струн: 6Система тремоло: +Звукознімачі: HSS, Standard ...Рік 03.2018",https://hotline.ua/img/tx/289/289981186_s265.jpg,Fender SQUIER BULLET STRATOCASTER HSS,9 120 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/fender-squier-bullet-hss-stratocaster/
"ЕлектрогітараКількість струн: 6Звукознімачі: HH, 2 х QuantumРік 11.2018",https://hotline.ua/img/tx/446/446405409_s265.jpg,Ibanez RGRT421,21 599 – 25 999 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/ibanez-rgrt421/
Бас-гітараКількість струн: 4Звукознімачі: Ceramic Split Single CoilРік 10.2023,https://hotline.ua/img/tx/438/438628655_s265.jpg,Fender Squier SONIC PRECISION BASS LRL,10 217 – 11 590 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/fender-squier-sonic-precision-bass-lrl/
"ЕлектрогітараКількість струн: 7Звукознімачі: HH, 2х DUNCAN SOLAR+ (PLUS)Рік 01.2024",https://hotline.ua/img/tx/451/451044191_s265.jpg,Solar Guitars A2.7CANIBALISMO+ BLOOD RED OPEN PORE W/BLOOD SPLATTER,40 660 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/solar-guitars-elektrogitara-a27canibalismoplus-blood-red-open-pore-wblood-splatter/
"ЕлектрогітараКількість струн: 6Звукознімачі: HH, 2х Voiced Tone VTH-59Рік 03.2012",https://hotline.ua/img/tx/409/409638891_s265.jpg,Cort CR200,14 494 – 17 700 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/cort-cr200/
"ЕлектрогітараКількість струн: 6Звукознімачі: HH, 2х Voiced Tone VTH-59Рік 03.2012",https://hotline.ua/img/tx/359/359771481_s265.jpg,Cort CR250,16 998 – 18 233 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/cort-cr250/
Електрогітара / Гітарний комплектКількість струн: 6Система тремоло: +Звукознімачі: HSSРік 06.2013,https://hotline.ua/img/tx/106/1063298_s265.jpg,Yamaha EG112GP II,15 599 – 16 480 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/yamaha-eg112gp-ii/
"ЕлектрогітараКількість струн: 6Звукознімачі: HH, 2 х QuantumРік 11.2018",https://hotline.ua/img/tx/426/426835377_s265.jpg,Ibanez RG421AHM,17 699 – 22 999 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/ibanez-rg421ahm/
"ЕлектрогітараКількість струн: 6Звукознімачі: HH, 2 х Alnico Classic PROРік 07.2020",https://hotline.ua/img/tx/448/448532818_s265.jpg,Epiphone Les Paul Classic,24 631 – 32 300 грн,https://hotline.ua/ua/musical_instruments-elektrogitary/epiphone-les-paul-classic/
